0000 language_model.embed_tokens Embedding in=[([1, 3116], 'torch.int64', 'cpu')] out=([1, 3116, 2048], 'torch.float32', 'cpu')
0113 visual.blocks.14.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0114 visual.blocks.14.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0115 visual.blocks.14.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0116 visual.blocks.14.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0117 visual.blocks.15.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0118 visual.blocks.15.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0119 visual.blocks.15.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0120 visual.blocks.15.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0121 visual.blocks.15.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0122 visual.blocks.15.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0123 visual.blocks.15.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0124 visual.blocks.16.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
